account_id,metric_time,tenure_metric,count_unscaled,scaling,unfriend_28avg_84obs
3,2020-02-02,18.0,1,1.5555555555555556,1.5555555555555556
3,2020-02-09,25.0,1,1.12,1.12
3,2020-02-16,32.0,1,0.875,0.875
3,2020-02-23,39.0,1,0.717948717948718,0.717948717948718
3,2020-03-01,46.0,1,0.6086956521739131,0.6086956521739131
3,2020-03-08,53.0,1,0.5283018867924528,0.5283018867924528
5,2020-03-22,52.0,1,0.5384615384615384,0.5384615384615384
5,2020-03-29,59.0,1,0.4745762711864407,0.4745762711864407
7,2020-03-08,50.0,1,0.56,0.56
7,2020-03-15,57.0,1,0.49122807017543857,0.49122807017543857
7,2020-03-22,64.0,1,0.4375,0.4375
7,2020-03-29,71.0,1,0.39436619718309857,0.39436619718309857
7,2020-04-05,78.0,1,0.358974358974359,0.358974358974359
7,2020-04-12,85.0,1,0.3333333333333333,0.3333333333333333
7,2020-04-19,92.0,1,0.3333333333333333,0.3333333333333333
7,2020-04-26,99.0,1,0.3333333333333333,0.3333333333333333
7,2020-05-03,106.0,1,0.3333333333333333,0.3333333333333333
7,2020-05-10,113.0,1,0.3333333333333333,0.3333333333333333
8,2020-02-02,18.0,1,1.5555555555555556,1.5555555555555556
8,2020-02-09,25.0,1,1.12,1.12
9,2020-03-08,44.0,1,0.6363636363636364,0.6363636363636364
9,2020-03-15,51.0,1,0.5490196078431373,0.5490196078431373
9,2020-03-22,58.0,1,0.4827586206896552,0.4827586206896552
9,2020-03-29,65.0,1,0.4307692307692308,0.4307692307692308
9,2020-04-05,72.0,1,0.3888888888888889,0.3888888888888889
9,2020-04-12,79.0,1,0.35443037974683544,0.35443037974683544
9,2020-04-19,86.0,1,0.3333333333333333,0.3333333333333333
9,2020-04-26,93.0,1,0.3333333333333333,0.3333333333333333
9,2020-05-03,100.0,1,0.3333333333333333,0.3333333333333333
9,2020-05-10,107.0,1,0.3333333333333333,0.3333333333333333
13,2020-02-16,16.0,1,1.75,1.75
13,2020-02-23,23.0,1,1.2173913043478262,1.2173913043478262
13,2020-03-01,30.0,1,0.9333333333333333,0.9333333333333333
13,2020-03-08,37.0,1,0.7567567567567568,0.7567567567567568
13,2020-03-15,44.0,1,0.6363636363636364,0.6363636363636364
13,2020-03-22,51.0,1,0.5490196078431373,0.5490196078431373
13,2020-03-29,58.0,1,0.4827586206896552,0.4827586206896552
13,2020-04-05,65.0,1,0.4307692307692308,0.4307692307692308
13,2020-04-12,72.0,1,0.3888888888888889,0.3888888888888889
13,2020-04-19,79.0,2,0.35443037974683544,0.7088607594936709
13,2020-04-26,86.0,2,0.3333333333333333,0.6666666666666666
13,2020-05-03,93.0,1,0.3333333333333333,0.3333333333333333
13,2020-05-10,100.0,1,0.3333333333333333,0.3333333333333333
15,2020-03-15,61.0,1,0.45901639344262296,0.45901639344262296
15,2020-03-22,68.0,1,0.4117647058823529,0.4117647058823529
15,2020-03-29,75.0,1,0.37333333333333335,0.37333333333333335
15,2020-04-05,82.0,1,0.34146341463414637,0.34146341463414637
15,2020-04-12,89.0,1,0.3333333333333333,0.3333333333333333
15,2020-04-19,96.0,1,0.3333333333333333,0.3333333333333333
15,2020-04-26,103.0,1,0.3333333333333333,0.3333333333333333
15,2020-05-03,110.0,1,0.3333333333333333,0.3333333333333333
15,2020-05-10,117.0,1,0.3333333333333333,0.3333333333333333
16,2020-02-02,14.0,1,2.0,2.0
16,2020-02-09,21.0,2,1.3333333333333333,2.6666666666666665
16,2020-02-16,28.0,2,1.0,2.0
16,2020-02-23,35.0,2,0.8,1.6
16,2020-03-01,42.0,2,0.6666666666666666,1.3333333333333333
16,2020-03-08,49.0,2,0.5714285714285714,1.1428571428571428
16,2020-03-15,56.0,2,0.5,1.0
16,2020-03-22,63.0,2,0.4444444444444444,0.8888888888888888
16,2020-03-29,70.0,2,0.4,0.8
16,2020-04-05,77.0,2,0.36363636363636365,0.7272727272727273
16,2020-04-12,84.0,2,0.3333333333333333,0.6666666666666666
16,2020-04-19,91.0,2,0.3333333333333333,0.6666666666666666
16,2020-04-26,98.0,1,0.3333333333333333,0.3333333333333333
17,2020-03-01,50.0,1,0.56,0.56
17,2020-03-08,57.0,1,0.49122807017543857,0.49122807017543857
17,2020-03-15,64.0,1,0.4375,0.4375
17,2020-03-22,71.0,1,0.39436619718309857,0.39436619718309857
