,n,bins
0,7320.0,0.01878056517302195
1,2908.0,0.0370520962313524
2,981.0,0.055323627289682854
3,374.0,0.0735951583480133
4,167.0,0.09186668940634377
5,63.0,0.11013822046467421
6,30.0,0.12840975152300466
7,26.0,0.14668128258133512
8,11.0,0.16495281363966557
9,7.0,0.18322434469799603
10,4.0,0.20149587575632646
11,1.0,0.21976740681465692
12,3.0,0.23803893787298738
13,1.0,0.2563104689313178
14,0.0,0.2745819999896483
15,0.0,0.29285353104797873
16,0.0,0.3111250621063092
17,0.0,0.32939659316463965
18,0.0,0.3476681242229701
19,1.0,0.36593965528130057
