,skew_score,fattail_score,mean,std
like_per_month,True,False,3.696694558351651,1.3064737670738882
newfriend_per_month,True,False,1.633251479441824,0.9000772504775949
post_per_month,True,False,3.0016729786334104,1.1735840347725328
adview_per_month,True,False,2.9827594958447414,1.208859661500904
dislike_per_month,True,False,2.2392088105792336,1.061185533167938
unfriend_per_month,False,False,0.24212716073781285,0.2939168878211054
message_per_month,True,False,3.2330272598368857,1.3274682151528998
reply_per_month,True,False,2.2352085552908236,1.3292585899054798
adview_per_post,True,False,0.7761967189806431,0.5474739107542783
reply_per_message,True,False,0.30430322314078917,0.19960541344368607
like_per_post,True,False,1.2087999061324468,0.7251477440695786
post_per_message,True,False,0.8453150738349696,0.8771211356211015
unfriend_per_newfriend,True,False,0.07400563772805094,0.13836114274615283
dislike_pcnt,False,False,0.23051088514168408,0.20743508629090027
newfriend_pcnt_chng,False,True,0.10375117157645514,0.6182103890473817
days_since_newfriend,True,False,1.4702502536494693,1.137434311385154
