,n,bins
0,8774.0,0.026014440981348048
1,2294.0,0.05194750462144996
2,557.0,0.07788056826155187
3,175.0,0.10381363190165378
4,47.0,0.1297466955417557
5,26.0,0.1556797591818576
6,11.0,0.1816128228219595
7,3.0,0.20754588646206143
8,4.0,0.23347895010216335
9,1.0,0.25941201374226525
10,2.0,0.28534507738236714
11,1.0,0.3112781410224691
12,1.0,0.337211204662571
13,0.0,0.3631442683026729
14,0.0,0.38907733194277483
15,0.0,0.4150103955828767
16,0.0,0.4409434592229786
17,0.0,0.46687652286308057
18,0.0,0.49280958650318246
19,1.0,0.5187426501432844
