account_id,last_metric_time,like_per_month,newfriend_per_month,post_per_month,adview_per_month,dislike_per_month,unfriend_per_month,message_per_month,reply_per_month,adview_per_post,reply_per_message,like_per_post,post_per_message,unfriend_per_newfriend,dislike_pcnt,newfriend_pcnt_chng,days_since_newfriend
0,2020-05-10,-0.927525633582138,-0.20316538481774515,-0.6854629727926652,-0.9852260477762624,-0.8037373511049976,-0.781312884674515,0.3433997056001411,0.12238906616290125,-0.5309639372558369,-0.39785855039571527,-0.47411368435954776,-0.7510127021914129,-0.823794653423199,-0.07821803645565698,1.4326394902948616,0.47809574720014564
1,2020-05-10,-0.927525633582138,-0.7035720679270279,-0.09483873113425458,-0.6498148160004047,-0.42165043469393726,-0.781312884674515,-0.25812708585361765,0.3038150570485694,-0.713338530470982,1.1726813370793028,-0.9788470498852606,-0.1734856077402264,-0.823794653423199,0.3952519138605951,-0.7422110622341658,0.3919413611644139
2,2020-05-10,0.012918367576914672,-0.8286737387043485,0.3115438183546266,-0.7472479915851917,0.14953696338604733,-0.781312884674515,-0.44744568905042514,-0.47076667219522783,-1.0101909091968755,-0.23940646014955622,-0.44335335019525585,0.3457990800033424,-0.823794653423199,-0.14708642441952424,-0.19849842410190893,5.130432593129657
4,2020-05-10,1.9528507808243543,1.923563018396706,1.2278441382650545,1.3169034697394868,1.063044099404166,-0.781312884674515,0.5114968010838983,0.7979096909871567,-0.025675452274453867,0.4493750081612005,1.04435673479489,0.1746779832234995,-0.823794653423199,-0.8631148102428715,-0.2891171717506953,-0.6419112712643664
6,2020-05-10,-0.6171748876836688,0.17213962751421683,0.07615089510162557,-1.5586153357431907,-1.074832332576304,-0.781312884674515,-0.7802843568509554,-0.11718337936192273,-1.2516120366046786,1.5134697939919823,-0.849118258214648,0.5045360287188844,-0.823794653423199,-0.603792383348498,0.16397670785852245,-0.6419112712643664
7,2020-05-10,0.6641186795962009,-0.20316538481774515,-0.5956862609969499,-0.7472479915851917,0.14953696338604733,0.06123836009143798,-0.969602960047763,-1.1600913369614039,-0.36683494433622554,-0.6751497469491915,1.7077435291268863,0.08091887785707803,0.3103128232553295,-0.652121044517907,-0.379735995519251,-0.21113934108570795
9,2020-05-10,-0.5757908028035182,-0.7035720679270279,-0.37212812055382183,-0.562657870481177,-0.039563518282876756,0.06123836009143798,-0.969602960047763,-0.47076667219522783,-0.39560046020609024,0.8697582642680316,-0.4033787275082872,0.2887824777518067,0.3103128232553295,0.3720751211300835,-0.19849842410190893,0.7365589053073406
10,2020-05-10,0.3170207594365239,-0.0780637140404245,-0.2501932276099096,0.5631771594062709,0.14953696338604733,-0.781312884674515,-0.10695910068341302,-0.33360633471197026,0.9790231619947669,-0.4544486201456786,0.6291239366506739,-0.3813491848330876,-0.823794653423199,-0.42255983165143657,-0.4703547431680374,-0.46960249919290303
12,2020-05-10,0.08417155720237993,0.2972412982915375,1.8576518656213907,1.4859987924788947,-0.42165043469393726,-0.781312884674515,-1.0857267798632928,-0.47076667219522783,-0.484719125426524,1.2817336062135702,-1.3608081301575798,3.1344059436681357,-0.823794653423199,-0.6193265924238186,-0.30724097782656695,-0.6419112712643664
13,2020-05-10,0.1948367940061213,-0.8286737387043485,-0.14354288196315276,0.5416895647494935,-1.074832332576304,0.06123836009143798,-0.25812708585361765,-0.8550603135117109,0.7699115228175346,-0.8266113142529852,0.3079427507635075,-0.20752075612030366,0.3103128232553295,-0.9293270419611779,-1.2859237003664226,2.115029081879048
