,n,bins
0,7319.0,0.018780655523646078
1,2909.0,0.037052277185811
2,981.0,0.05532389884797592
3,374.0,0.07359552051014084
4,167.0,0.09186714217230577
5,63.0,0.11013876383447069
6,30.0,0.1284103854966356
7,26.0,0.14668200715880053
8,11.0,0.16495362882096545
9,7.0,0.18322525048313038
10,4.0,0.2014968721452953
11,1.0,0.21976849380746022
12,3.0,0.23804011546962514
13,1.0,0.25631173713179006
14,0.0,0.274583358793955
15,0.0,0.2928549804561199
16,0.0,0.3111266021182848
17,0.0,0.32939822378044975
18,0.0,0.3476698454426147
19,1.0,0.3659414671047796
