,skew_score,fattail_score,mean,std
like_per_month,True,False,3.696694558351651,1.3064737670738882
newfriend_per_month,False,False,6.624002170037976,7.993498358467066
post_per_month,True,False,3.0016729786334104,1.1735840347725328
adview_per_month,True,False,2.9827594958447414,1.208859661500904
dislike_per_month,True,False,2.2392088105792336,1.061185533167938
unfriend_per_month,False,False,0.3027202976052081,0.54855852163725
message_per_month,True,False,3.2330272598368857,1.3274682151528998
reply_per_month,True,False,2.2352085552908236,1.3292585899054798
account_tenure,False,False,71.06510113926994,26.747373644961094
adview_per_post,True,False,0.7761967189806431,0.5474739107542783
reply_per_message,False,False,0.3851747567456406,0.3236438845352696
like_per_post,True,False,1.2087999061324468,0.7251477440695786
post_per_message,True,False,0.8453150738349696,0.8771211356211015
unfriend_per_newfriend,False,False,0.08656659140110828,0.24431719258071752
dislike_pcnt,False,False,0.23051088514168408,0.20743508629090027
unfriend_per_newfriend_scaled,True,False,0.07400563772805094,0.13836114274615283
newfriend_pcnt_chng,False,False,0.18253982911247382,0.9196034171977002
days_since_newfriend,False,False,7.450709137409905,11.607070121598447
unfriend_28day_avg_84day_obs,False,False,0.24212716073781285,0.2939168878211054
unfriend_28day_avg_84day_obs_scaled,False,False,0.30910598619545837,0.39562381762618437
