,n,bins
0,7784.0,0.021043805897932484
1,2801.0,0.04198649678657697
2,852.0,0.06292918767522146
3,274.0,0.08387187856386594
4,106.0,0.10481456945251041
5,37.0,0.12575726034115492
6,18.0,0.1466999512297994
7,12.0,0.16764264211844387
8,6.0,0.18858533300708835
9,2.0,0.20952802389573283
10,0.0,0.23047071478437733
11,2.0,0.25141340567302184
12,1.0,0.2723560965616663
13,1.0,0.2932987874503108
14,0.0,0.31424147833895527
15,0.0,0.33518416922759975
16,0.0,0.3561268601162442
17,0.0,0.3770695510048887
18,0.0,0.3980122418935332
19,1.0,0.41895493278217766
