,n,bins
0,7319.0,0.01878063250664428
1,2909.0,0.037052224116551805
2,981.0,0.05532381572645933
3,374.0,0.07359540733636685
4,167.0,0.09186699894627437
5,63.0,0.1101385905561819
6,30.0,0.12841018216608943
7,26.0,0.14668177377599695
8,11.0,0.16495336538590447
9,7.0,0.18322495699581198
10,4.0,0.20149654860571953
11,1.0,0.21976814021562704
12,3.0,0.23803973182553456
13,1.0,0.2563113234354421
14,0.0,0.2745829150453496
15,0.0,0.29285450665525714
16,0.0,0.3111260982651647
17,0.0,0.3293976898750722
18,0.0,0.3476692814849797
19,1.0,0.3659408730948872
