mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,params,split0_test_lift,split1_test_lift,mean_test_lift,std_test_lift,rank_test_lift,split0_test_AUC,split1_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC
0.07114779949188232,0.022288203239440918,0.02353799343109131,0.00020873546600341797,0.1,4,3,40,"{'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 40}",3.511454725383474,4.231753130590341,3.8716039279869072,0.3601492026034334,4,0.6965704954761316,0.7055109137793274,0.7010407046277295,0.004470209151597904,1
0.11841273307800293,0.024386167526245117,0.03235316276550293,0.004607200622558594,0.1,4,3,80,"{'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 80}",3.458250865907966,4.1548121645796074,3.806531515243787,0.3482806493358208,13,0.6943439632021605,0.7039260550591994,0.6991350091306799,0.004791045928519422,2
0.054329872131347656,0.011526346206665039,0.02571725845336914,0.00584101676940918,0.3,2,9,40,"{'learning_rate': 0.3, 'max_depth': 2, 'min_child_weight': 9, 'n_estimators': 40}",3.2454354280059374,4.000930232558139,3.6231828302820386,0.37774740227610093,85,0.6939254611109145,0.7030698409239485,0.6984976510174314,0.004572189906517032,3
0.046265244483947754,0.009049057960510254,0.020318031311035156,0.0005657672882080078,0.1,4,3,20,"{'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 20}",3.1390277090549232,4.1548121645796074,3.646919936817265,0.5078922277623421,76,0.6942586191201089,0.7024601401903101,0.6983593796552094,0.0041007605351006116,4
0.07872962951660156,0.020563602447509766,0.03329765796661377,0.006424069404602051,0.1,6,9,20,"{'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 9, 'n_estimators': 20}",3.298639287481445,4.077871198568873,3.688255243025159,0.3896159555437142,50,0.6926083174445833,0.7031424783903537,0.6978753979174686,0.0052670804728852105,5
0.07872438430786133,0.027666091918945312,0.024059057235717773,0.00018453598022460938,0.1,4,9,40,"{'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 9, 'n_estimators': 40}",3.458250865907966,4.308694096601074,3.88347248125452,0.425221615346554,3,0.6917371756292704,0.7030870923222198,0.6974121339757451,0.00567495834647469,6
0.0784142017364502,0.009457826614379883,0.036051273345947266,1.1920928955078125e-06,0.1,4,12,40,"{'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 12, 'n_estimators': 40}",3.458250865907966,3.9239892665474065,3.691120066227686,0.23286920031972036,47,0.6944343647112967,0.6983120868744097,0.6963732257928532,0.0019388610815564977,7
0.10911834239959717,0.035254597663879395,0.04323744773864746,0.0016243457794189453,0.1,2,12,120,"{'learning_rate': 0.1, 'max_depth': 2, 'min_child_weight': 12, 'n_estimators': 120}",3.405047006432459,3.9239892665474065,3.664518136489933,0.2594711300574737,55,0.6938075598420059,0.6974318115784122,0.695619685710209,0.0018121258682031183,8
0.04783666133880615,0.01020348072052002,0.02192223072052002,0.0005480051040649414,0.3,2,12,40,"{'learning_rate': 0.3, 'max_depth': 2, 'min_child_weight': 12, 'n_estimators': 40}",3.085823849579416,3.6931663685152056,3.389495109047311,0.30367125946789475,170,0.6925030597433861,0.6978621885668628,0.6951826241551244,0.0026795644117383333,9
0.06039571762084961,0.018723726272583008,0.027008652687072754,0.005262970924377441,0.1,4,6,20,"{'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 6, 'n_estimators': 20}",3.085823849579416,4.308694096601074,3.697258973090245,0.6114351235108288,46,0.6886407658967577,0.7011944323382,0.6949175991174789,0.006276833220721145,10
