,n,bins
0,8413.0,0.02348557416749488
1,2422.0,0.046468447564742596
2,661.0,0.0694513209619903
3,248.0,0.09243419435923803
4,73.0,0.11541706775648575
5,36.0,0.13839994115373344
6,20.0,0.16138281455098116
7,9.0,0.18436568794822888
8,5.0,0.2073485613454766
9,5.0,0.23033143474272433
10,0.0,0.253314308139972
11,3.0,0.2762971815372197
12,1.0,0.29928005493446747
13,0.0,0.32226292833171516
14,0.0,0.3452458017289629
15,0.0,0.3682286751262106
16,0.0,0.3912115485234583
17,0.0,0.41419442192070605
18,0.0,0.43717729531795374
19,1.0,0.4601601687152015
